#{"t_start": 1773999538.7571719, "env_id": "highway-fast-v0"}
r,l,t
2.133333,40,65.237607
0.733333,40,65.419956
7.812737,40,65.596417
0.0,40,65.776017
1.514031,40,65.957849
6.533333,40,66.139334
2.974453,40,66.319772
4.665016,40,66.500206
5.639971,40,66.67949
1.444444,40,66.857183
5.159238,40,67.038196
1.333333,40,67.22114
0.733333,40,67.397377
6.933333,40,67.576365
3.367724,40,67.754963
1.522532,40,67.932209
0.711111,40,68.115109
3.466667,40,68.296785
4.670161,40,68.481179
0.0,40,68.662383
0.0,40,68.844801
0.0,40,69.030699
2.844444,40,69.211338
4.637873,40,69.390915
4.911111,40,69.572237
2.022222,40,69.751837
1.738928,40,69.928002
4.205448,40,70.10764
2.133333,40,70.286552
2.844444,40,70.464412
8.405536,40,70.644755
9.330634,40,70.825699
2.822222,40,71.007371
6.809966,40,71.189896
10.665525,40,71.37191
2.8,40,71.552254
6.144631,40,71.730415
3.643648,40,71.910434
0.733333,40,72.092738
2.911895,40,72.274076
1.444444,40,72.451302
0.0,40,72.631724
2.777778,40,72.813594
0.711111,40,72.99574
3.488889,40,73.175613
0.733333,40,73.356191
2.066667,40,73.540061
4.955556,40,73.726993
5.043219,40,73.911135
0.666667,40,74.093225
7.0,40,74.276094
4.822222,40,74.459381
3.8,40,74.640221
3.488889,40,74.823169
1.422222,40,75.004762
2.755556,40,75.187186
0.900781,40,75.366699
0.0,40,75.548809
3.533333,40,75.728396
2.822222,40,75.908019
10.466667,40,76.090743
0.0,40,76.489296
1.4,40,76.670953
3.666667,40,76.84912
3.977778,40,77.02936
2.170994,40,77.212892
0.0,40,77.392562
1.645137,40,77.570538
4.755556,40,77.749037
2.4,40,77.931144
10.4,40,78.111191
0.688889,40,78.291292
4.504556,40,78.467731
0.666667,40,78.650696
3.444444,40,78.834807
2.088889,40,79.017937
0.0,40,79.199913
6.619746,40,79.382919
11.432862,40,79.564406
5.066667,40,79.743905
0.666667,40,79.92222
0.711111,40,80.10364
0.0,40,80.282627
9.733333,40,80.462652
1.4,40,80.640497
10.933333,40,80.821293
10.043278,40,81.003433
7.759753,40,81.183825
